city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Colombo,2008-08-27,ODI,"{by={runs=46}, winner=India}",50,[SK Raina],R Premadasa Stadium,India, India, India,bat
,2008-11-20,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[M Muralitharan],Harare Sports Club,Sri Lanka,Zimbabwe, Sri Lanka,field
,2008-11-22,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[BAW Mendis],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,bat
,2008-11-24,ODI,"{by={runs=5}, winner=Sri Lanka}",50,[H Masakadza],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,field
,2008-11-30,ODI,"{by={runs=19}, winner=Sri Lanka}",50,[M Muralitharan],Harare Sports Club,Sri Lanka,Zimbabwe, Zimbabwe,field
,"2009-01-03, 2009-01-04, 2009-01-05, 2009-01-06",Test,"{by={runs=465}, winner=Sri Lanka}",,[TM Dilshan],Chittagong Divisional Stadium,Sri Lanka,Bangladesh, Sri Lanka,bat
Mirpur,2009-01-14,ODI,"{by={wickets=5}, winner=Bangladesh}",50,[Shakib Al Hasan],Shere Bangla National Stadium,Bangladesh,Bangladesh, Bangladesh,field
Karachi,2009-01-20,ODI,"{by={wickets=8}, winner=Pakistan}",50,[Salman Butt],National Stadium,Pakistan,Pakistan, Sri Lanka,bat
Karachi,2009-01-21,ODI,"{by={runs=129}, winner=Sri Lanka}",50,[TM Dilshan],National Stadium,Sri Lanka,Pakistan, Pakistan,field
Lahore,2009-01-24,ODI,"{by={runs=234}, winner=Sri Lanka}",50,[TM Dilshan],Gaddafi Stadium,Sri Lanka,Pakistan, Sri Lanka,bat
,2009-01-28,ODI,"{by={wickets=6}, winner=India}",50,[ST Jayasuriya],Rangiri Dambulla International Stadium,India, India, India,field
Colombo,2009-01-31,ODI,"{by={runs=15}, winner=India}",50,[I Sharma],R Premadasa Stadium,India, India, India,bat
Colombo,2009-02-03,ODI,"{by={runs=147}, winner=India}",50,[Yuvraj Singh],R Premadasa Stadium,India, India, India,bat
Colombo,2009-02-05,ODI,"{by={runs=67}, winner=India}",50,[G Gambhir],R Premadasa Stadium,India, India, India,bat
Colombo,2009-02-08,ODI,"{by={runs=68}, winner=Sri Lanka}",50,[KC Sangakkara],R Premadasa Stadium,Sri Lanka, India, Sri Lanka,bat
Colombo,2009-02-10,T20,"{by={wickets=3}, winner=India}",20,[YK Pathan],R Premadasa Stadium,India, India, Sri Lanka,bat
Karachi,"2009-02-21, 2009-02-22, 2009-02-23, 2009-02-24, 2009-02-25",Test,{result=draw},,[Younis Khan],National Stadium,draw,Pakistan, Sri Lanka,bat
Lahore,"2009-03-01, 2009-03-02, 2009-03-03, 2009-03-04, 2009-03-05",Test,{result=draw},,,Gaddafi Stadium,draw,Pakistan, Pakistan,field
,"2009-07-04, 2009-07-05, 2009-07-06, 2009-07-07",Test,"{by={runs=50}, winner=Sri Lanka}",,[HMRKB Herath],Galle International Stadium,Sri Lanka, Pakistan, Pakistan,field
Colombo,"2009-07-12, 2009-07-13, 2009-07-14",Test,"{by={wickets=7}, winner=Sri Lanka}",,"[Fawad Alam, KMDN Kulasekara]",P Sara Oval,Sri Lanka, Pakistan, Pakistan,bat
Colombo,"2009-07-20, 2009-07-21, 2009-07-22, 2009-07-23, 2009-07-24",Test,{result=draw},,[KC Sangakkara],Sinhalese Sports Club Ground,draw, Pakistan, Sri Lanka,field
,2009-07-30,ODI,"{by={runs=36}, winner=Sri Lanka}",50,[M Muralitharan],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Pakistan,field
,2009-08-01,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[CK Kapugedera],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Sri Lanka,field
,2009-08-03,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[DPMD Jayawardene],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Sri Lanka,field
Colombo,2009-08-07,ODI,"{by={runs=146}, winner=Pakistan}",50,[Umar Akmal],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2009-08-09,ODI,"{by={runs=132}, winner=Pakistan}",50,[Naved-ul-Hasan],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2009-08-12,T20,"{by={runs=52}, winner=Pakistan}",20,[Shahid Afridi],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
,"2009-08-18, 2009-08-19, 2009-08-20, 2009-08-21, 2009-08-22",Test,"{by={runs=202}, winner=Sri Lanka}",,[TM Dilshan],Galle International Stadium,Sri Lanka, New Zealand, New Zealand,field
Colombo,"2009-08-26, 2009-08-27, 2009-08-28, 2009-08-29, 2009-08-30",Test,"{by={runs=96}, winner=Sri Lanka}",,[DPMD Jayawardene],Sinhalese Sports Club Ground,Sri Lanka, New Zealand, Sri Lanka,bat
Colombo,2009-09-08,ODI,"{by={runs=97}, winner=Sri Lanka}",50,[TT Samaraweera],R Premadasa Stadium,Sri Lanka, New Zealand, Sri Lanka,bat
Colombo,2009-09-12,ODI,"{by={runs=139}, winner=Sri Lanka}",50,[AD Mathews],R Premadasa Stadium,Sri Lanka, India, Sri Lanka,bat
Colombo,2009-09-14,ODI,"{by={runs=46}, winner=India}",50,[SR Tendulkar],R Premadasa Stadium,India, India, India,bat
Colombo,2009-09-02,T20,"{by={runs=3}, winner=New Zealand}",20,[DL Vettori],R Premadasa Stadium,New Zealand, New Zealand, New Zealand,bat
Colombo,2009-09-04,T20,"{by={runs=22}, winner=New Zealand}",20,[JD Ryder],R Premadasa Stadium,New Zealand, New Zealand, New Zealand,bat
Guyana,2010-04-30,T20,"{by={wickets=2}, winner=New Zealand}",20,[NL McCullum],Providence Stadium,New Zealand,New Zealand, Sri Lanka,bat
Guyana,2010-05-03,T20,"{by={runs=14}, method=D/L, winner=Sri Lanka}",20,[DPMD Jayawardene],Providence Stadium,Sri Lanka, Zimbabwe, Sri Lanka,bat
Barbados,2010-05-07,T20,"{by={runs=57}, winner=Sri Lanka}",20,[DPMD Jayawardene],"Kensington Oval, Bridgetown",Sri Lanka,West Indies, Sri Lanka,bat
Barbados,2010-05-09,T20,"{by={runs=81}, winner=Australia}",20,[CL White],"Kensington Oval, Bridgetown",Australia,Australia, Australia,bat
St Lucia,2010-05-11,T20,"{by={wickets=5}, winner=Sri Lanka}",20,[AD Mathews],"Beausejour Stadium, Gros Islet",Sri Lanka,India, India,bat
St Lucia,2010-05-13,T20,"{by={wickets=7}, winner=England}",20,[SCJ Broad],"Beausejour Stadium, Gros Islet",England,England, Sri Lanka,bat
Centurion,2009-09-22,ODI,"{by={runs=55}, method=D/L, winner=Sri Lanka}",50,[TM Dilshan],SuperSport Park,Sri Lanka,South Africa, South Africa,field
Johannesburg,2009-09-25,ODI,"{by={wickets=6}, winner=England}",50,[PD Collingwood],New Wanderers Stadium,England,England, England,field
Johannesburg,2009-09-27,ODI,"{by={runs=38}, winner=New Zealand}",50,[DL Vettori],New Wanderers Stadium,New Zealand,New Zealand, Sri Lanka,field
Ahmedabad,"2009-11-16, 2009-11-17, 2009-11-18, 2009-11-19, 2009-11-20",Test,{result=draw},,[DPMD Jayawardene],"Sardar Patel Stadium, Motera",draw,India, India,bat
Kanpur,"2009-11-24, 2009-11-25, 2009-11-26, 2009-11-27",Test,"{by={innings=1, runs=144}, winner=India}",,[S Sreesanth],Green Park,India,India, India,bat
Mumbai,"2009-12-02, 2009-12-03, 2009-12-04, 2009-12-05, 2009-12-06",Test,"{by={innings=1, runs=24}, winner=India}",,[V Sehwag],Brabourne Stadium,India,India, Sri Lanka,bat
Nagpur,2009-12-09,T20,"{by={runs=29}, winner=Sri Lanka}",20,[KC Sangakkara],"Vidarbha Cricket Association Stadium, Jamtha",Sri Lanka,India, India,field
Chandigarh,2009-12-12,T20,"{by={wickets=6}, winner=India}",20,[Yuvraj Singh],"Punjab Cricket Association Stadium, Mohali",India,India, Sri Lanka,bat
Rajkot,2009-12-15,ODI,"{by={runs=3}, winner=India}",50,[V Sehwag],Madhavrao Scindia Cricket Ground,India,India, Sri Lanka,field
Nagpur,2009-12-18,ODI,"{by={wickets=3}, winner=Sri Lanka}",50,[TM Dilshan],"Vidarbha Cricket Association Stadium, Jamtha",Sri Lanka,India, India,bat
Cuttack,2009-12-21,ODI,"{by={wickets=7}, winner=India}",50,[RA Jadeja],Barabati Stadium,India,India, Sri Lanka,bat
Kolkata,2009-12-24,ODI,"{by={wickets=7}, winner=India}",50,[G Gambhir],Eden Gardens,India,India, Sri Lanka,bat
Delhi,2009-12-27,ODI,{result=no result},50,,Feroz Shah Kotla,no result,India, India,field
Hambantota,2011-02-20,ODI,"{by={runs=210}, winner=Sri Lanka}",50,[DPMD Jayawardene],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, Canada, Sri Lanka,bat
Colombo,2011-02-26,ODI,"{by={runs=11}, winner=Pakistan}",50,[Shahid Afridi],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2011-03-01,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[SL Malinga],R Premadasa Stadium,Sri Lanka, Kenya, Kenya,bat
Colombo,2011-03-05,ODI,{result=no result},50,,R Premadasa Stadium,no result, Australia, Sri Lanka,bat
,2011-03-10,ODI,"{by={runs=139}, winner=Sri Lanka}",50,[TM Dilshan],Pallekele International Cricket Stadium,Sri Lanka, Zimbabwe, Zimbabwe,field
Mumbai,2011-03-18,ODI,"{by={runs=112}, winner=Sri Lanka}",50,[KC Sangakkara],Wankhede Stadium,Sri Lanka,New Zealand, Sri Lanka,bat
Colombo,2011-03-26,ODI,"{by={wickets=10}, winner=Sri Lanka}",50,[TM Dilshan],R Premadasa Stadium,Sri Lanka, England, England,bat
Colombo,2011-03-29,ODI,"{by={wickets=5}, winner=Sri Lanka}",50,[KC Sangakkara],R Premadasa Stadium,Sri Lanka, New Zealand, New Zealand,bat
Mumbai,2011-04-02,ODI,"{by={wickets=6}, winner=India}",50,[MS Dhoni],Wankhede Stadium,India,India, Sri Lanka,bat
Mirpur,2010-01-04,ODI,"{by={wickets=7}, winner=Sri Lanka}",50,[TM Dilshan],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Sri Lanka,field
Mirpur,2010-01-05,ODI,"{by={wickets=5}, winner=Sri Lanka}",50,[TT Samaraweera],Shere Bangla National Stadium,Sri Lanka,India, Sri Lanka,field
Mirpur,2010-01-08,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[WU Tharanga],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Sri Lanka,field
Mirpur,2010-01-10,ODI,"{by={wickets=8}, winner=India}",50,[Z Khan],Shere Bangla National Stadium,India,India, Sri Lanka,bat
Mirpur,2010-01-13,ODI,"{by={wickets=4}, winner=Sri Lanka}",50,[KMDN Kulasekara],Shere Bangla National Stadium,Sri Lanka,India, Sri Lanka,field
Perth,2010-10-31,T20,"{by={wickets=7}, winner=Sri Lanka}",20,[S Randiv],Western Australia Cricket Association Ground,Sri Lanka,Australia, Australia,bat
,2010-11-03,ODI,"{by={wickets=1}, winner=Sri Lanka}",50,[AD Mathews],Melbourne Cricket Ground,Sri Lanka,Australia, Australia,bat
,2010-11-05,ODI,"{by={runs=29}, method=D/L, winner=Sri Lanka}",50,[WU Tharanga],Sydney Cricket Ground,Sri Lanka,Australia, Sri Lanka,bat
Brisbane,2010-11-07,ODI,"{by={wickets=8}, winner=Australia}",50,[CJ McKay],"Brisbane Cricket Ground, Woolloongabba",Australia,Australia, Sri Lanka,bat
Bulawayo,2010-05-30,ODI,"{by={wickets=7}, winner=India}",50,[RG Sharma],Queens Sports Club,India,India, India,field
Bulawayo,2010-06-01,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[S Randiv],Queens Sports Club,Sri Lanka,Zimbabwe, Sri Lanka,field
,2010-06-05,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[LD Chandimal],Harare Sports Club,Sri Lanka,India, Sri Lanka,field
,2010-06-07,ODI,"{by={wickets=8}, winner=Zimbabwe}",50,[BRM Taylor],Harare Sports Club,Zimbabwe,Zimbabwe, Zimbabwe,field
,2010-06-09,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[TM Dilshan],Harare Sports Club,Sri Lanka,Zimbabwe, Sri Lanka,field
,2010-06-15,ODI,"{by={runs=16}, winner=Sri Lanka}",50,[Shahid Afridi],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Sri Lanka,bat
,2010-06-18,ODI,"{by={runs=126}, winner=Sri Lanka}",50,[TM Dilshan],Rangiri Dambulla International Stadium,Sri Lanka, Bangladesh, Sri Lanka,bat
,2010-06-22,ODI,"{by={wickets=7}, winner=Sri Lanka}",50,[MF Maharoof],Rangiri Dambulla International Stadium,Sri Lanka, India, Sri Lanka,field
,2010-06-24,ODI,"{by={runs=81}, winner=India}",50,[KD Karthik],Rangiri Dambulla International Stadium,India, India, India,bat
,2010-08-16,ODI,"{by={wickets=6}, winner=India}",50,[V Sehwag],Rangiri Dambulla International Stadium,India, India, Sri Lanka,bat
,2010-08-13,ODI,"{by={wickets=3}, winner=Sri Lanka}",50,[WU Tharanga],Rangiri Dambulla International Stadium,Sri Lanka, New Zealand, New Zealand,bat
,2010-08-22,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[NLTC Perera],Rangiri Dambulla International Stadium,Sri Lanka, India, India,bat
,2010-08-28,ODI,"{by={runs=74}, winner=Sri Lanka}",50,[TM Dilshan],Rangiri Dambulla International Stadium,Sri Lanka, India, Sri Lanka,bat
,"2010-07-18, 2010-07-19, 2010-07-20, 2010-07-21, 2010-07-22",Test,"{by={wickets=10}, winner=Sri Lanka}",,[SL Malinga],Galle International Stadium,Sri Lanka, India, Sri Lanka,bat
Colombo,"2010-07-26, 2010-07-27, 2010-07-28, 2010-07-29, 2010-07-30",Test,{result=draw},,[KC Sangakkara],Sinhalese Sports Club Ground,draw, India, Sri Lanka,bat
Colombo,"2010-08-03, 2010-08-04, 2010-08-05, 2010-08-06, 2010-08-07",Test,"{by={wickets=5}, winner=India}",,[VVS Laxman],P Sara Oval,India, India, Sri Lanka,bat
Lauderhill,2010-05-22,T20,"{by={runs=28}, winner=New Zealand}",20,[SB Styris],Central Broward Regional Park Stadium Turf Ground,New Zealand,New Zealand, New Zealand,bat
Lauderhill,2010-05-23,T20,"{by={wickets=7}, winner=Sri Lanka}",20,[KMDN Kulasekara],Central Broward Regional Park Stadium Turf Ground,Sri Lanka,New Zealand, New Zealand,bat
,"2010-11-15, 2010-11-16, 2010-11-17, 2010-11-18, 2010-11-19",Test,{result=draw},,[CH Gayle],Galle International Stadium,draw, West Indies, West Indies,bat
Colombo,"2010-11-23, 2010-11-24, 2010-11-25, 2010-11-26, 2010-11-27",Test,{result=draw},,[KC Sangakkara],R Premadasa Stadium,draw, West Indies, Sri Lanka,bat
,"2010-12-01, 2010-12-02, 2010-12-03, 2010-12-04, 2010-12-05",Test,{result=draw},,,Pallekele International Cricket Stadium,draw, West Indies, Sri Lanka,field
Colombo,2011-01-31,ODI,{result=no result},50,,Sinhalese Sports Club Ground,no result, West Indies, West Indies,bat
Colombo,2011-02-03,ODI,"{by={wickets=8}, method=D/L, winner=Sri Lanka}",50,[WU Tharanga],Sinhalese Sports Club Ground,Sri Lanka, West Indies, Sri Lanka,field
Colombo,2011-02-06,ODI,"{by={runs=26}, winner=Sri Lanka}",50,[KC Sangakkara],Sinhalese Sports Club Ground,Sri Lanka, West Indies, West Indies,field
,"2010-08-19, 2010-08-20",ODI,{result=no result},50,,Rangiri Dambulla International Stadium,no result, New Zealand, New Zealand,field
Cardiff,"2011-05-26, 2011-05-27, 2011-05-28, 2011-05-29, 2011-05-30",Test,"{by={innings=1, runs=14}, winner=England}",,[IJL Trott],Sophia Gardens,England,England, Sri Lanka,bat
London,"2011-06-03, 2011-06-04, 2011-06-05, 2011-06-06, 2011-06-07",Test,{result=draw},,[TM Dilshan],Lord's,draw,England, Sri Lanka,field
Southampton,"2011-06-16, 2011-06-17, 2011-06-18, 2011-06-19, 2011-06-20",Test,{result=draw},,[CT Tremlett],The Rose Bowl,draw,England, England,field
Bristol,2011-06-25,T20,"{by={wickets=9}, winner=Sri Lanka}",20,[DPMD Jayawardene],County Ground,Sri Lanka,England, Sri Lanka,field
London,2011-06-28,ODI,"{by={runs=110}, method=D/L, winner=England}",50,[JM Anderson],Kennington Oval,England,England, Sri Lanka,field
Leeds,2011-07-01,ODI,"{by={runs=69}, winner=Sri Lanka}",50,[DPMD Jayawardene],Headingley,Sri Lanka,England, England,field
London,2011-07-03,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[LD Chandimal],Lord's,Sri Lanka,England, England,bat
Nottingham,2011-07-06,ODI,"{by={wickets=10}, method=D/L, winner=England}",50,[AN Cook],Trent Bridge,England,England, England,field
Manchester,2011-07-09,ODI,"{by={runs=16}, winner=England}",50,[IJL Trott],Old Trafford,England,England, England,bat
Centurion,"2011-12-15, 2011-12-16, 2011-12-17",Test,"{by={innings=1, runs=81}, winner=South Africa}",,[VD Philander],SuperSport Park,South Africa,South Africa, South Africa,field
Durban,"2011-12-26, 2011-12-27, 2011-12-28, 2011-12-29",Test,"{by={runs=208}, winner=Sri Lanka}",,[HMRKB Herath],Kingsmead,Sri Lanka,South Africa, Sri Lanka,bat
Cape Town,"2012-01-03, 2012-01-04, 2012-01-05, 2012-01-06",Test,"{by={wickets=10}, winner=South Africa}",,[JH Kallis],Newlands,South Africa,South Africa, Sri Lanka,field
Paarl,2012-01-11,ODI,"{by={runs=258}, winner=South Africa}",50,[M Morkel],Boland Park,South Africa,South Africa, South Africa,bat
East London,2012-01-14,ODI,"{by={wickets=5}, winner=South Africa}",50,[JP Duminy],Buffalo Park,South Africa,South Africa, South Africa,field
Bloemfontein,2012-01-17,ODI,"{by={runs=4}, method=D/L, winner=South Africa}",50,[F du Plessis],Chevrolet Park,South Africa,South Africa, Sri Lanka,bat
Kimberley,2012-01-20,ODI,"{by={wickets=5}, winner=Sri Lanka}",50,[NLTC Perera],De Beers Diamond Oval,Sri Lanka,South Africa, South Africa,bat
Johannesburg,2012-01-22,ODI,"{by={wickets=2}, winner=Sri Lanka}",50,[KC Sangakkara],New Wanderers Stadium,Sri Lanka,South Africa, Sri Lanka,field
,2011-08-06,T20,"{by={runs=35}, winner=Sri Lanka}",20,[TM Dilshan],Pallekele International Cricket Stadium,Sri Lanka, Australia, Australia,field
,2011-08-08,T20,"{by={runs=8}, winner=Sri Lanka}",20,[BAW Mendis],Pallekele International Cricket Stadium,Sri Lanka, Australia, Sri Lanka,bat
,2011-08-10,ODI,"{by={wickets=7}, winner=Australia}",50,[MG Johnson],Pallekele International Cricket Stadium,Australia, Australia, Sri Lanka,bat
Hambantota,2011-08-14,ODI,"{by={wickets=8}, winner=Australia}",50,[RT Ponting],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Australia, Australia, Sri Lanka,bat
Hambantota,2011-08-16,ODI,"{by={runs=78}, winner=Sri Lanka}",50,[WU Tharanga],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, Australia, Australia,field
Colombo,2011-08-20,ODI,"{by={wickets=5}, winner=Australia}",50,[XJ Doherty],R Premadasa Stadium,Australia, Australia, Sri Lanka,bat
Colombo,2011-08-22,ODI,"{by={wickets=4}, winner=Sri Lanka}",50,[SL Malinga],R Premadasa Stadium,Sri Lanka, Australia, Sri Lanka,field
,"2011-08-31, 2011-09-01, 2011-09-02, 2011-09-03",Test,"{by={runs=125}, winner=Australia}",,[MEK Hussey],Galle International Stadium,Australia, Australia, Australia,bat
,"2011-09-08, 2011-09-09, 2011-09-10, 2011-09-11, 2011-09-12",Test,{result=draw},,[MEK Hussey],Pallekele International Cricket Stadium,draw, Australia, Sri Lanka,bat
Colombo,"2011-09-16, 2011-09-17, 2011-09-18, 2011-09-19, 2011-09-20",Test,{result=draw},,[MEK Hussey],Sinhalese Sports Club Ground,draw, Australia, Sri Lanka,field
Perth,2012-02-08,ODI,"{by={wickets=4}, winner=India}",50,[R Ashwin],Western Australia Cricket Association Ground,India,India, Sri Lanka,bat
Perth,2012-02-10,ODI,"{by={runs=5}, winner=Australia}",50,[MJ Clarke],Western Australia Cricket Association Ground,Australia,Australia, Sri Lanka,field
,2012-02-14,ODI,{result=tie},50,[MS Dhoni],Adelaide Oval,tie,India, Sri Lanka,bat
,2012-02-17,ODI,"{by={wickets=8}, method=D/L, winner=Sri Lanka}",50,[NLTC Perera],Sydney Cricket Ground,Sri Lanka,Australia, Australia,bat
Brisbane,2012-02-21,ODI,"{by={runs=51}, winner=Sri Lanka}",50,[KMDN Kulasekara],"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,India, Sri Lanka,bat
Hobart,2012-02-24,ODI,"{by={wickets=3}, winner=Sri Lanka}",50,[DPMD Jayawardene],Bellerive Oval,Sri Lanka,Australia, Australia,bat
Hobart,2012-02-28,ODI,"{by={wickets=7}, winner=India}",50,[V Kohli],Bellerive Oval,India,India, India,field
,2012-03-02,ODI,"{by={runs=9}, winner=Sri Lanka}",50,[LD Chandimal],Melbourne Cricket Ground,Sri Lanka,Australia, Sri Lanka,bat
Brisbane,2012-03-04,ODI,"{by={runs=15}, winner=Australia}",50,[DA Warner],"Brisbane Cricket Ground, Woolloongabba",Australia,Australia, Australia,bat
,2012-03-06,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[TM Dilshan],Adelaide Oval,Sri Lanka,Australia, Australia,bat
,2012-03-08,ODI,"{by={runs=16}, winner=Australia}",50,[CJ McKay],Adelaide Oval,Australia,Australia, Sri Lanka,field
,"2012-03-26, 2012-03-27, 2012-03-28, 2012-03-29",Test,"{by={runs=75}, winner=Sri Lanka}",,[HMRKB Herath],Galle International Stadium,Sri Lanka, England, Sri Lanka,bat
Colombo,"2012-04-03, 2012-04-04, 2012-04-05, 2012-04-06, 2012-04-07",Test,"{by={wickets=8}, winner=England}",,[KP Pietersen],P Sara Oval,England, England, Sri Lanka,bat
Abu Dhabi,"2011-10-18, 2011-10-19, 2011-10-20, 2011-10-21, 2011-10-22",Test,{result=draw},,[KC Sangakkara],Sheikh Zayed Stadium,draw,Pakistan, Pakistan,field
,"2011-10-26, 2011-10-27, 2011-10-28, 2011-10-29",Test,"{by={wickets=9}, winner=Pakistan}",,[Saeed Ajmal],Dubai International Cricket Stadium,Pakistan,Pakistan, Sri Lanka,bat
,"2011-11-03, 2011-11-04, 2011-11-05, 2011-11-06, 2011-11-07",Test,{result=draw},,[KC Sangakkara],Sharjah Cricket Stadium,draw,Pakistan, Sri Lanka,bat
